"Player_id","Name","Photo","Number"
907,Romelu Lukaku,https://media.api-sports.io/football/players/907.png,9
910,Alexis Sánchez,https://media.api-sports.io/football/players/910.png,7
30765,Andrei Radu,https://media.api-sports.io/football/players/30765.png,97
189,Daniele Padelli,https://media.api-sports.io/football/players/189.png,27
197,Andrea Ranocchia,https://media.api-sports.io/football/players/197.png,13
31009,Alessandro Bastoni,https://media.api-sports.io/football/players/31009.png,95
9,Achraf Hakimi,https://media.api-sports.io/football/players/9.png,2
203,Roberto Gagliardini,https://media.api-sports.io/football/players/203.png,5
30535,Stefano Sensi,https://media.api-sports.io/football/players/30535.png,12
174,Christian Eriksen,https://media.api-sports.io/football/players/174.png,24
894,Ashley Young,https://media.api-sports.io/football/players/894.png,15
217,Lautaro Martínez,https://media.api-sports.io/football/players/217.png,10
31094,Andrea Pinamonti,https://media.api-sports.io/football/players/31094.png,99
3173,Ismaël Bennacer,https://media.api-sports.io/football/players/3173.png,4
56473,Matteo Gabbia,https://media.api-sports.io/football/players/56473.png,46
64268,Johan Mojica,https://media.api-sports.io/football/players/64268.png,26
162521,Emmanuel Gyabuaa,https://media.api-sports.io/football/players/162521.png,44
162011,Alessandro Cortinovis,https://media.api-sports.io/football/players/162011.png,77
289761,Giorgio Scalvini,https://media.api-sports.io/football/players/289761.png,42
2763,Mario Pašalić,https://media.api-sports.io/football/players/2763.png,88
162519,Ludovico Gelmi,https://media.api-sports.io/football/players/162519.png,25
162014,Davide Ghislandi,https://media.api-sports.io/football/players/162014.png,41
690,Viktor Kovalenko,https://media.api-sports.io/football/players/690.png,20
127,Marc-André ter Stegen,https://media.api-sports.io/football/players/127.png,1
38735,Sergiño Dest,https://media.api-sports.io/football/players/38735.png,2
101814,Ronald Araújo,https://media.api-sports.io/football/players/101814.png,4
133,Clément Lenglet,https://media.api-sports.io/football/players/133.png,15
128,Jordi Alba,https://media.api-sports.io/football/players/128.png,18
538,Frenkie de Jong,https://media.api-sports.io/football/players/538.png,21
144,Sergio Busquets,https://media.api-sports.io/football/players/144.png,5
133609,Pedri,https://media.api-sports.io/football/players/133609.png,16
154,Lionel Messi,https://media.api-sports.io/football/players/154.png,10
2737,Martin Braithwaite,https://media.api-sports.io/football/players/2737.png,9
153,Ousmane Dembélé,https://media.api-sports.io/football/players/153.png,11
912,Neto,https://media.api-sports.io/football/players/912.png,13
126,Iñaki Peña,https://media.api-sports.io/football/players/126.png,26
162712,Oscar Mingueza,https://media.api-sports.io/football/players/162712.png,28
1564,Junior Firpo,https://media.api-sports.io/football/players/1564.png,24
143,Carles Aleñá,https://media.api-sports.io/football/players/143.png,6
872,Miralem Pjanić,https://media.api-sports.io/football/players/872.png,8
9925,Matheus Fernandes,https://media.api-sports.io/football/players/9925.png,19
148,Riqui Puig,https://media.api-sports.io/football/players/148.png,12
41112,Francisco Trincão,https://media.api-sports.io/football/players/41112.png,17
161929,Konrad de la Fuente,https://media.api-sports.io/football/players/161929.png,29
56,Antoine Griezmann,https://media.api-sports.io/football/players/56.png,7
139,Samuel Umtiti,https://media.api-sports.io/football/players/139.png,23
162123,Ilaix Moriba,https://media.api-sports.io/football/players/162123.png,27
162473,Arnau Tenas,https://media.api-sports.io/football/players/162473.png,36
146,Alex Collado,https://media.api-sports.io/football/players/146.png,30
137,Sergi Roberto,https://media.api-sports.io/football/players/137.png,20
136,Gerard Piqué,https://media.api-sports.io/football/players/136.png,3
497,Manuel Neuer,https://media.api-sports.io/football/players/497.png,1
2725,Benjamin Pavard,https://media.api-sports.io/football/players/2725.png,5
499,Jérôme Boateng,https://media.api-sports.io/football/players/499.png,17
505,David Alaba,https://media.api-sports.io/football/players/505.png,27
509,Alphonso Davies,https://media.api-sports.io/football/players/509.png,19
519,Corentin Tolisso,https://media.api-sports.io/football/players/519.png,24
502,Joshua Kimmich,https://media.api-sports.io/football/players/502.png,6
644,Leroy Sané,https://media.api-sports.io/football/players/644.png,10
522,Thomas Müller,https://media.api-sports.io/football/players/522.png,25
510,Serge Gnabry,https://media.api-sports.io/football/players/510.png,7
521,Robert Lewandowski,https://media.api-sports.io/football/players/521.png,9
399,Alexander Nübel,https://media.api-sports.io/football/players/399.png,35
506,Niklas Süle,https://media.api-sports.io/football/players/506.png,4
33,Lucas Hernández,https://media.api-sports.io/football/players/33.png,21
126949,Chris Richards,https://media.api-sports.io/football/players/126949.png,41
181812,Jamal Musiala,https://media.api-sports.io/football/players/181812.png,42
511,Leon Goretzka,https://media.api-sports.io/football/players/511.png,18
41582,Tiago Dantas,https://media.api-sports.io/football/players/41582.png,28
865,Douglas Costa,https://media.api-sports.io/football/players/865.png,11
275,Eric Maxim Choupo-Moting,https://media.api-sports.io/football/players/275.png,13
1915,Bouna Sarr,https://media.api-sports.io/football/players/1915.png,20
508,Kingsley Coman,https://media.api-sports.io/football/players/508.png,29
47341,Marc Roca,https://media.api-sports.io/football/players/47341.png,22
514,Javi Martínez,https://media.api-sports.io/football/players/514.png,8
70100,Joshua Zirkzee,https://media.api-sports.io/football/players/70100.png,14
496,Ron-Thorben Hoffmann,https://media.api-sports.io/football/players/496.png,39
162534,Lukas Schneller,https://media.api-sports.io/football/players/162534.png,34
731,Keylor Navas,https://media.api-sports.io/football/players/731.png,1
769,Alessandro Florenzi,https://media.api-sports.io/football/players/769.png,24
257,Marquinhos,https://media.api-sports.io/football/players/257.png,5
